iter	Passed	Remaining
958	3459	147
959	3463	144
960	3466	140
961	3470	137
962	3474	133
963	3477	129
964	3481	126
965	3485	122
966	3489	119
967	3493	115
968	3497	111
969	3500	108
970	3504	104
971	3508	101
972	3512	97
973	3516	93
974	3519	90
975	3523	86
976	3526	83
977	3529	79
978	3533	75
979	3536	72
980	3540	68
981	3543	64
982	3547	61
983	3550	57
984	3553	54
985	3557	50
986	3560	46
987	3563	43
988	3567	39
989	3570	36
990	3574	32
991	3577	28
992	3581	25
993	3584	21
994	3587	18
995	3591	14
996	3594	10
997	3597	7
998	3601	3
999	3605	0
